"Data Import Template"
"Table:","Events"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Events","",""
"Column Labels:","ID","Event Name","Event Id"
"Column Name:","name","event_name","event_id"
"Mandatory:","Yes","No","No"
"Type:","Data (text)","Data","Data"
"Info:","","",""
"Start entering data below this line"
"","""SEIZURES""","SEIZURES","SEIZURES"
"","""HOT FLASHESH""","HOT FLASHESH","HOT FLASHESH"
"","""FATIGUE AND TIREDNESS""","FATIGUE AND TIREDNESS","FATIGUE AND TIREDNESS"
"","""ANEMIA""","ANEMIA","ANEMIA"
"","""VERTIGO""","VERTIGO","VERTIGO"
"","""SUICIDE""","SUICIDE","SUICIDE"
"","""PARANOLA""","PARANOLA","PARANOLA"
"","""MEMORY LOSS""","MEMORY LOSS","MEMORY LOSS"
"","""LOW LIBIDO""","LOW LIBIDO","LOW LIBIDO"
"","""INSOMNIA""","INSOMNIA","INSOMNIA"
"","""HYPER ACTIVITY""","HYPER ACTIVITY","HYPER ACTIVITY"
"","""EUPHORIA""","EUPHORIA","EUPHORIA"
"","""DIFFULTY IN CONCENTRATION""","DIFFULTY IN CONCENTRATION","DIFFULTY IN CONCENTRATION"
"","""DIPRESSION""","DIPRESSION","DIPRESSION"
"","""ANXIETY""","ANXIETY","ANXIETY"
"","""ANOREXIA""","ANOREXIA","ANOREXIA"
"","""AMNESIA""","AMNESIA","AMNESIA"
"","""WEEKNESS""","WEEKNESS","WEEKNESS"
"","""TREMOR""","TREMOR","TREMOR"
"","""MUSCLES CRAMPS""","MUSCLES CRAMPS","MUSCLES CRAMPS"
"","""LEG SWLING""","LEG SWLING","LEG SWLING"
"","""KNEE JOINT PAIN""","KNEE JOINT PAIN","KNEE JOINT PAIN"
"","""HIP JOINT PAIN""","HIP JOINT PAIN","HIP JOINT PAIN"
"","""JOINT PAIN""","JOINT PAIN","JOINT PAIN"
"","""LEG PAIN""","LEG PAIN","LEG PAIN"
"","""KNEE PAIN""","KNEE PAIN","KNEE PAIN"
"","""HIP PAIN""","HIP PAIN","HIP PAIN"
"","""WEIGHT LOSS""","WEIGHT LOSS","WEIGHT LOSS"
"","""WEIGHT GAIN""","WEIGHT GAIN","WEIGHT GAIN"
"","""TAILBONE PAIN""","TAILBONE PAIN","TAILBONE PAIN"
"","""STOOL COLOR AND TEXTURE CHANGE""","STOOL COLOR AND TEXTURE CHANGE","STOOL COLOR AND TEXTURE CHANGE"
"","""DIARRHEA""","DIARRHEA","DIARRHEA"
"","""CONSTIPATION""","CONSTIPATION","CONSTIPATION"
"","""BUTTOCK PAIN""","BUTTOCK PAIN","BUTTOCK PAIN"
"","""BLEEDING""","BLEEDING","BLEEDING"
"","""ANAL ITCHING""","ANAL ITCHING","ANAL ITCHING"
"","""MISSSED MENSTRUAL PERIODS""","MISSSED MENSTRUAL PERIODS","MISSSED MENSTRUAL PERIODS"
"","""MENSTRUAL CRAMPS""","MENSTRUAL CRAMPS","MENSTRUAL CRAMPS"
"","""VAGINAL PAIN""","VAGINAL PAIN","VAGINAL PAIN"
"","""VAGINAL ODOR""","VAGINAL ODOR","VAGINAL ODOR"
"","""VAGINAL DRYNESS""","VAGINAL DRYNESS","VAGINAL DRYNESS"
"","""VAGINAL DISCHARGE""","VAGINAL DISCHARGE","VAGINAL DISCHARGE"
"","""ABNORMAL VAGINAL BLEEDING""","ABNORMAL VAGINAL BLEEDING","ABNORMAL VAGINAL BLEEDING"
"","""URINE ODOR""","URINE ODOR","URINE ODOR"
"","""URINARY RETENTION""","URINARY RETENTION","URINARY RETENTION"
"","""URINARY INCONTINENCE""","URINARY INCONTINENCE","URINARY INCONTINENCE"
