"Data Import Template"
"Table:","State"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","State",""
"Column Labels:","ID","State Name"
"Column Name:","name","state_name"
"Mandatory:","Yes","No"
"Type:","Data (text)","Data"
"Info:","",""
"Start entering data below this line"
"","""West Bengal""","West Bengal"
"","""Uttaranchal""","Uttaranchal"
"","""Uttar Pradesh""","Uttar Pradesh"
"","""Tripura""","Tripura"
"","""Tamil Nadu""","Tamil Nadu"
"","""Sikkim""","Sikkim"
"","""Rajasthan""","Rajasthan"
"","""Punjab""","Punjab"
"","""Pondicherry""","Pondicherry"
"","""Orissa""","Orissa"
"","""Nagaland""","Nagaland"
"","""Mizoram""","Mizoram"
"","""Meghalaya""","Meghalaya"
"","""Manipur""","Manipur"
"","""Maharashtra""","Maharashtra"
"","""Madhya Pradesh""","Madhya Pradesh"
"","""Lakshadweep""","Lakshadweep"
"","""Kerala""","Kerala"
"","""Karnataka""","Karnataka"
"","""Jharkhand""","Jharkhand"
"","""Jammu and Kashmir""","Jammu and Kashmir"
"","""Himachal Pradesh""","Himachal Pradesh"
"","""Haryana""","Haryana"
"","""Gujarat""","Gujarat"
"","""Goa""","Goa"
"","""Delhi""","Delhi"
"","""Daman and Diu""","Daman and Diu"
"","""Dadra and Nagar Haveli""","Dadra and Nagar Haveli"
"","""Chandigarh""","Chandigarh"
"","""Bihar""","Bihar"
"","""Assam""","Assam"
"","""Arunachal Pradesh""","Arunachal Pradesh"
"","""Andhra Pradesh""","Andhra Pradesh"
